,Unnamed: 0,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
0,0,CPU,65.0,45.0,77.0,122.0,2200,AMD,,,
1,1,CPU,14.0,35.0,192.0,4800.0,3200,AMD,,,
2,2,CPU,10.0,28.0,,,2600,Intel,,,
3,3,CPU,22.0,80.0,160.0,1400.0,1800,Intel,,,
4,4,CPU,45.0,125.0,258.0,758.0,3700,AMD,,,
5,5,CPU,22.0,95.0,160.0,1400.0,2400,Intel,,,
6,6,CPU,65.0,125.0,285.0,450.0,2400,AMD,,,
7,7,CPU,65.0,130.0,140.0,376.0,3000,Intel,,,
8,8,CPU,10.0,28.0,,,2000,Intel,,,
9,9,CPU,90.0,89.0,156.0,154.0,2200,AMD,,,
10,10,CPU,130.0,62.0,80.0,37.0,1992,AMD,,,
11,11,CPU,22.0,35.0,160.0,1480.0,2200,Intel,,,
12,12,CPU,40.0,9.0,75.0,,1000,AMD,,,
13,13,CPU,14.0,28.0,123.0,,2600,Intel,,,
14,14,CPU,65.0,95.0,285.0,450.0,2300,AMD,,,
15,15,CPU,22.0,12.0,118.0,1400.0,1200,Intel,,,
16,16,CPU,65.0,35.0,,,2300,AMD,,,
17,17,CPU,90.0,84.0,109.0,125.0,2660,Intel,,,
18,18,CPU,22.0,80.0,160.0,1400.0,2500,Intel,,,
19,19,CPU,90.0,110.0,199.0,233.0,2400,AMD,,,
20,20,CPU,22.0,17.0,118.0,,1800,Intel,,,
21,21,CPU,90.0,55.0,,106.0,2200,AMD,,,
22,22,CPU,180.0,60.0,120.0,37.0,1100,AMD,,,
23,23,CPU,45.0,130.0,263.0,731.0,3333,Intel,,,
24,24,CPU,90.0,67.0,115.0,105.0,2200,AMD,,,
25,25,CPU,90.0,84.0,109.0,169.0,3800,Intel,,,
26,26,CPU,90.0,130.0,206.0,169.0,3000,Intel,,,
27,27,CPU,14.0,170.0,213.0,4800.0,3100,AMD,,,
28,28,CPU,90.0,115.0,109.0,125.0,3400,Intel,,,
29,29,CPU,130.0,30.0,80.0,44.0,1266,Intel,,,
30,30,CPU,45.0,45.0,117.0,234.0,2700,AMD,,,
31,31,CPU,14.0,170.0,213.0,4800.0,2000,AMD,,,
32,32,CPU,45.0,4.0,26.0,47.0,1600,Intel,,,
33,33,CPU,22.0,130.0,160.0,1400.0,3000,Intel,,,
34,34,CPU,10.0,270.0,,,2300,Intel,,,
35,35,CPU,22.0,300.0,350.0,5000.0,1238,Intel,,,
36,36,CPU,14.0,65.0,,,3700,Intel,,,
37,37,CPU,32.0,8.0,,,1600,Intel,,,
38,38,CPU,65.0,95.0,285.0,450.0,2300,AMD,,,
39,39,CPU,32.0,35.0,149.0,624.0,2200,Intel,,,
40,40,CPU,90.0,110.0,,233.0,2400,AMD,,,
41,41,CPU,32.0,65.0,228.0,1178.0,2400,AMD,,,
42,42,CPU,90.0,25.0,125.0,114.0,1800,AMD,,,
43,43,CPU,180.0,38.0,80.0,44.0,866,Intel,,,
44,44,CPU,45.0,65.0,107.0,820.0,2833,Intel,,,
45,45,CPU,22.0,15.0,118.0,1300.0,1800,Intel,,,
46,46,CPU,90.0,110.0,,233.0,2600,AMD,,,
47,47,CPU,14.0,62.0,,,3700,Intel,,,
48,48,CPU,14.0,65.0,192.0,4800.0,3200,AMD,,,
49,49,CPU,32.0,35.0,228.0,1178.0,1900,AMD,,,
50,50,CPU,130.0,97.0,237.0,286.0,3200,Intel,,,
51,51,CPU,90.0,85.0,,106.0,2200,AMD,,,
52,52,CPU,65.0,130.0,143.0,582.0,2666,Intel,,,
53,53,CPU,14.0,35.0,,,3500,Intel,,,
54,54,CPU,32.0,65.0,228.0,1178.0,2100,AMD,,,
55,55,CPU,22.0,300.0,350.0,5000.0,1238,Intel,,,
56,56,CPU,14.0,125.0,206.0,,3700,Intel,,,
57,57,CPU,22.0,10.0,118.0,1400.0,1100,Intel,,,
58,58,CPU,90.0,89.0,220.0,227.0,2800,AMD,,,
59,59,CPU,45.0,95.0,169.0,300.0,3000,AMD,,,
60,60,CPU,45.0,1.0,26.0,47.0,1200,Intel,,,
61,61,CPU,7.0,155.0,74.0,3800.0,3000,AMD,,,
62,62,CPU,14.0,15.0,,,1500,Intel,,,
63,63,CPU,14.0,35.0,,,3000,Intel,,,
64,64,CPU,7.0,45.0,156.0,9800.0,3300,AMD,,,
65,65,CPU,7.0,180.0,74.0,3800.0,2500,AMD,,,
66,66,CPU,90.0,62.0,230.0,227.0,2600,AMD,,,
67,67,CPU,130.0,32.0,80.0,44.0,1400,Intel,,,
68,68,CPU,14.0,45.0,149.0,,2700,Intel,,,
69,69,CPU,130.0,82.0,193.0,106.0,2200,AMD,,,
70,70,CPU,22.0,80.0,160.0,1400.0,2100,Intel,,,
71,71,CPU,14.0,125.0,206.0,,3600,Intel,,,
72,72,CPU,14.0,65.0,,,2800,Intel,,,
73,73,CPU,22.0,25.0,118.0,,2500,Intel,,,
74,74,CPU,22.0,17.0,,,2300,Intel,,,
75,75,CPU,14.0,15.0,123.0,,2400,Intel,,,
76,76,CPU,14.0,165.0,,8000.0,2400,Intel,,,
77,77,CPU,90.0,67.0,156.0,154.0,2200,AMD,,,
78,78,CPU,7.0,105.0,,,3400,AMD,,,
79,79,CPU,32.0,4.0,66.0,176.0,1600,Intel,,,
80,80,CPU,10.0,185.0,,,2300,Intel,,,
81,81,CPU,7.0,280.0,,,2450,AMD,,,
82,82,CPU,14.0,65.0,,,3100,Intel,,,
83,83,CPU,7.0,280.0,74.0,3800.0,3900,AMD,,,
84,84,CPU,22.0,15.0,118.0,1400.0,1600,Intel,,,
85,85,CPU,90.0,89.0,220.0,154.0,2000,AMD,,,
86,86,CPU,22.0,60.0,160.0,1400.0,2400,Intel,,,
87,87,CPU,22.0,77.0,133.0,,3400,Intel,,,
88,88,CPU,12.0,35.0,210.0,4940.0,2300,AMD,,,
89,89,CPU,90.0,3.0,66.0,176.0,800,Intel,,,
90,90,CPU,7.0,25.0,156.0,9800.0,2100,AMD,,,
91,91,CPU,14.0,65.0,,,2700,Intel,,,
92,92,CPU,90.0,135.0,,,3500,Intel,,,
93,93,CPU,14.0,25.0,,,2100,Intel,,,
94,94,CPU,14.0,65.0,,,3800,Intel,,,
95,95,CPU,65.0,27.0,90.0,151.0,1866,Intel,,,
96,96,CPU,32.0,65.0,246.0,1178.0,3400,AMD,,,
97,97,CPU,65.0,31.0,90.0,151.0,2166,Intel,,,
98,98,CPU,14.0,51.0,150.0,1400.0,3500,Intel,,,
99,99,CPU,32.0,100.0,246.0,1178.0,3600,AMD,,,
100,100,CPU,130.0,68.0,80.0,37.0,2133,AMD,,,
101,101,CPU,130.0,89.0,193.0,69.0,2000,AMD,,,
102,102,CPU,65.0,95.0,140.0,376.0,3400,Intel,,,
103,103,CPU,32.0,35.0,131.0,504.0,1500,Intel,,,
104,104,CPU,45.0,4.0,26.0,47.0,1300,Intel,,,
105,105,CPU,32.0,9.0,246.0,1178.0,1050,AMD,,,
