,Unnamed: 0.1,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
2,2194,GPU,14.0,25.0,132.0,3300.0,1469,NVIDIA,18.38,1177.0,36.77
12,2204,GPU,7.0,250.0,520.0,26800.0,1700,AMD,32330.0,16170.0,1010.0
19,2211,GPU,12.0,250.0,815.0,21100.0,1290,NVIDIA,31330.0,15670.0,7834.0
25,2217,GPU,28.0,15.0,125.0,1200.0,200,AMD,737.3,737.3,368.6
29,2221,GPU,20.0,10.0,118.0,2000.0,640,NVIDIA,471.6,235.8,7.368
31,2223,GPU,14.0,150.0,232.0,5700.0,1074,AMD,4394.0,4394.0,274.6
39,2231,GPU,16.0,250.0,471.0,11800.0,1557,NVIDIA,167.0,10690.0,334.0
60,2252,GPU,12.0,250.0,815.0,21100.0,1245,NVIDIA,32710.0,16350.0,8177.0
61,2253,GPU,12.0,25.0,200.0,4700.0,720,NVIDIA,3333.0,1667.0,52.08
63,2255,GPU,7.0,475.0,331.0,13230.0,1574,AMD,28180.0,14090.0,880.6
65,2257,GPU,16.0,250.0,471.0,11800.0,1303,NVIDIA,183.7,11760.0,367.4
67,2259,GPU,14.0,25.0,74.0,1800.0,1469,NVIDIA,18.38,1177.0,36.77
71,2263,GPU,7.0,85.0,158.0,6400.0,1000,AMD,8448.0,4224.0,264.0
73,2265,GPU,8.0,150.0,628.0,28300.0,885,NVIDIA,31240.0,31240.0,976.3
84,2276,GPU,16.0,75.0,314.0,7200.0,1328,NVIDIA,86.41,5530.0,172.8
97,2289,GPU,14.0,150.0,232.0,5700.0,1120,AMD,5834.0,5834.0,364.6
99,2291,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1647.0,1647.0,103.0
106,2298,GPU,12.0,50.0,200.0,4700.0,1395,NVIDIA,5215.0,2607.0,81.48
109,2301,GPU,14.0,150.0,232.0,5700.0,1168,AMD,5095.0,5095.0,318.5
112,2304,GPU,16.0,75.0,200.0,4400.0,1493,NVIDIA,38.88,2488.0,77.76
118,2310,GPU,12.0,80.0,545.0,13600.0,780,NVIDIA,14130.0,7066.0,220.8
130,2322,GPU,28.0,15.0,125.0,1200.0,200,AMD,553.0,553.0,276.5
131,2323,GPU,12.0,60.0,445.0,10800.0,600,NVIDIA,9331.0,4666.0,145.8
133,2325,GPU,16.0,120.0,314.0,7200.0,1506,NVIDIA,68.36,4375.0,136.7
150,2342,GPU,12.0,250.0,545.0,13600.0,1650,NVIDIA,22300.0,11150.0,348.5
164,2356,GPU,14.0,10.0,210.0,4940.0,300,AMD,3331.0,1665.0,104.1
167,2359,GPU,12.0,65.0,445.0,10800.0,975,NVIDIA,9101.0,4550.0,142.2
190,2382,GPU,28.0,15.0,125.0,1200.0,200,AMD,251.5,251.5,15.72
193,2385,GPU,14.0,75.0,132.0,3300.0,1291,NVIDIA,33.41,2138.0,66.82
194,2386,GPU,14.0,20.0,132.0,3300.0,747,NVIDIA,18.74,1199.0,37.48
207,2399,GPU,12.0,30.0,350.0,9000.0,854,NVIDIA,2820.0,1410.0,705.0
222,2414,GPU,12.0,75.0,200.0,4700.0,1410,NVIDIA,5699.0,2849.0,89.04
238,2430,GPU,28.0,350.0,596.0,8900.0,1000,AMD,8192.0,8192.0,512.0
239,2431,GPU,7.0,85.0,158.0,6400.0,1000,AMD,8909.0,4454.0,278.4
