,Unnamed: 0,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
0,2192,GPU,32.0,95.0,216.0,1160.0,100,Intel,,,
1,2193,GPU,150.0,,174.0,80.0,200,Other,,,
2,2194,GPU,14.0,25.0,132.0,3300.0,1469,NVIDIA,18.38,1177.0,36.77
3,2195,GPU,130.0,,,,200,Intel,,12.8,
4,2196,GPU,55.0,20.0,73.0,242.0,600,ATI,,96.0,
5,2197,GPU,110.0,,110.0,75.0,350,NVIDIA,,,
6,2198,GPU,110.0,44.0,156.0,120.0,400,ATI,,,
7,2199,GPU,130.0,,225.0,222.0,425,NVIDIA,,,
8,2200,GPU,80.0,200.0,420.0,720.0,600,ATI,,384.0,
9,2201,GPU,65.0,20.0,144.0,314.0,450,NVIDIA,,35.2,
10,2202,GPU,14.0,15.0,,,350,Intel,921.6,460.8,115.2
11,2203,GPU,40.0,33.0,146.0,880.0,550,AMD,,176.0,
12,2204,GPU,7.0,250.0,520.0,26800.0,1700,AMD,32330.0,16170.0,1010.0
13,2205,GPU,22.0,45.0,,,200,Intel,,136.0,34.0
14,2206,GPU,28.0,130.0,294.0,3540.0,823,NVIDIA,,2046.0,85.25
15,2207,GPU,14.0,15.0,,,300,Intel,,768.0,
16,2208,GPU,40.0,35.0,238.0,1170.0,570,NVIDIA,,328.3,27.36
17,2209,GPU,28.0,25.0,110.0,1178.0,600,AMD,,153.6,9.6
18,2210,GPU,55.0,30.0,146.0,514.0,600,ATI,,384.0,
19,2211,GPU,12.0,250.0,815.0,21100.0,1290,NVIDIA,31330.0,15670.0,7834.0
20,2212,GPU,90.0,171.0,484.0,681.0,600,NVIDIA,,345.6,
21,2213,GPU,40.0,215.0,529.0,3100.0,608,NVIDIA,,1089.0,136.1
22,2214,GPU,28.0,33.0,87.0,1020.0,575,NVIDIA,,441.6,18.4
23,2215,GPU,110.0,16.0,110.0,75.0,300,NVIDIA,,,
24,2216,GPU,28.0,130.0,118.0,1270.0,850,NVIDIA,,326.4,13.6
25,2217,GPU,28.0,15.0,125.0,1200.0,200,AMD,737.3,737.3,368.6
26,2218,GPU,80.0,175.0,181.0,232.0,500,ATI,,240.0,
27,2219,GPU,28.0,375.0,561.0,7080.0,705,NVIDIA,,5046.0,1682.0
28,2220,GPU,150.0,,65.0,29.0,250,NVIDIA,,,
29,2221,GPU,20.0,10.0,118.0,2000.0,640,NVIDIA,471.6,235.8,7.368
30,2222,GPU,32.0,,216.0,1160.0,850,Intel,,259.2,
31,2223,GPU,14.0,150.0,232.0,5700.0,1074,AMD,4394.0,4394.0,274.6
32,2224,GPU,14.0,15.0,,,300,Intel,806.4,403.2,100.8
33,2225,GPU,150.0,,142.0,63.0,300,NVIDIA,,,
34,2226,GPU,130.0,,92.0,76.0,333,ATI,,,
35,2227,GPU,28.0,75.0,148.0,1870.0,1020,NVIDIA,,1389.0,43.4
36,2228,GPU,40.0,19.0,59.0,292.0,650,AMD,,104.0,
37,2229,GPU,28.0,,398.0,5200.0,924,NVIDIA,,2657.0,83.04
38,2230,GPU,150.0,,215.0,110.0,277,ATI,,,
39,2231,GPU,16.0,250.0,471.0,11800.0,1557,NVIDIA,167.0,10690.0,334.0
