,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
0,GPU,14.0,25.0,132.0,3300.0,1469,NVIDIA,18.38,1177.0,36.77
3,GPU,28.0,15.0,125.0,1200.0,200,AMD,737.3,737.3,368.6
4,GPU,20.0,10.0,118.0,2000.0,640,NVIDIA,471.6,235.8,7.368
5,GPU,14.0,150.0,232.0,5700.0,1074,AMD,4394.0,4394.0,274.6
6,GPU,16.0,250.0,471.0,11800.0,1557,NVIDIA,167.0,10690.0,334.0
8,GPU,12.0,25.0,200.0,4700.0,720,NVIDIA,3333.0,1667.0,52.08
10,GPU,16.0,250.0,471.0,11800.0,1303,NVIDIA,183.7,11760.0,367.4
11,GPU,14.0,25.0,74.0,1800.0,1469,NVIDIA,18.38,1177.0,36.77
12,GPU,7.0,85.0,158.0,6400.0,1000,AMD,8448.0,4224.0,264.0
14,GPU,16.0,75.0,314.0,7200.0,1328,NVIDIA,86.41,5530.0,172.8
15,GPU,14.0,150.0,232.0,5700.0,1120,AMD,5834.0,5834.0,364.6
16,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1647.0,1647.0,103.0
17,GPU,12.0,50.0,200.0,4700.0,1395,NVIDIA,5215.0,2607.0,81.48
18,GPU,14.0,150.0,232.0,5700.0,1168,AMD,5095.0,5095.0,318.5
19,GPU,16.0,75.0,200.0,4400.0,1493,NVIDIA,38.88,2488.0,77.76
20,GPU,12.0,80.0,545.0,13600.0,780,NVIDIA,14130.0,7066.0,220.8
21,GPU,28.0,15.0,125.0,1200.0,200,AMD,553.0,553.0,276.5
22,GPU,12.0,60.0,445.0,10800.0,600,NVIDIA,9331.0,4666.0,145.8
23,GPU,16.0,120.0,314.0,7200.0,1506,NVIDIA,68.36,4375.0,136.7
24,GPU,12.0,250.0,545.0,13600.0,1650,NVIDIA,22300.0,11150.0,348.5
25,GPU,14.0,10.0,210.0,4940.0,300,AMD,3331.0,1665.0,104.1
26,GPU,12.0,65.0,445.0,10800.0,975,NVIDIA,9101.0,4550.0,142.2
27,GPU,28.0,15.0,125.0,1200.0,200,AMD,251.5,251.5,15.72
28,GPU,14.0,75.0,132.0,3300.0,1291,NVIDIA,33.41,2138.0,66.82
29,GPU,14.0,20.0,132.0,3300.0,747,NVIDIA,18.74,1199.0,37.48
31,GPU,12.0,75.0,200.0,4700.0,1410,NVIDIA,5699.0,2849.0,89.04
33,GPU,7.0,85.0,158.0,6400.0,1000,AMD,8909.0,4454.0,278.4
34,GPU,7.0,85.0,158.0,6400.0,1000,AMD,8138.0,4069.0,254.3
35,GPU,12.0,50.0,284.0,6600.0,1350,NVIDIA,6083.0,3041.0,95.04
36,GPU,14.0,20.0,132.0,3300.0,1354,NVIDIA,29.36,1879.0,58.72
37,GPU,14.0,35.0,210.0,4940.0,300,AMD,2255.0,1127.0,70.46
38,GPU,14.0,10.0,74.0,1800.0,1531,NVIDIA,19.13,1224.0,38.26
39,GPU,28.0,15.0,125.0,1200.0,200,AMD,167.7,167.7,10.48
