,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,ProcessSize,TransistorSize,DieSize
0,CPU,65.0,45.0,77.0,122.0,2200,AMD,Compact(),Infinitesimal(),Least Useable Space
1,CPU,14.0,35.0,192.0,4800.0,3200,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
2,CPU,22.0,80.0,160.0,1400.0,1800,Intel,Extremely Compact(),Microscopic(),Some Usable Space
3,CPU,22.0,95.0,160.0,1400.0,2400,Intel,Extremely Compact(),Microscopic(),Some Usable Space
4,CPU,65.0,125.0,285.0,450.0,2400,AMD,Compact(),Microminiature(),Most Useable Space
5,CPU,65.0,130.0,140.0,376.0,3000,Intel,Compact(),Approaching Subatomic(),Some Usable Space
6,CPU,90.0,89.0,156.0,154.0,2200,AMD,Compact(),Approaching Subatomic(),Some Usable Space
7,CPU,130.0,62.0,80.0,37.0,1992,AMD,Slightly Compact(),Infinitesimal(),Least Useable Space
8,CPU,22.0,35.0,160.0,1480.0,2200,Intel,Extremely Compact(),Microscopic(),Some Usable Space
9,CPU,65.0,95.0,285.0,450.0,2300,AMD,Compact(),Microminiature(),Most Useable Space
10,CPU,90.0,84.0,109.0,125.0,2660,Intel,Compact(),Infinitesimal(),Least Useable Space
11,CPU,22.0,80.0,160.0,1400.0,2500,Intel,Extremely Compact(),Microscopic(),Some Usable Space
12,CPU,90.0,110.0,199.0,233.0,2400,AMD,Compact(),Approaching Subatomic(),Considerable Useable Space
13,CPU,45.0,130.0,263.0,731.0,3333,Intel,Highly Compact(),Microminiature(),Most Useable Space
14,CPU,90.0,67.0,115.0,105.0,2200,AMD,Compact(),Infinitesimal(),Some Usable Space
15,CPU,90.0,130.0,206.0,169.0,3000,Intel,Compact(),Approaching Subatomic(),Considerable Useable Space
16,CPU,14.0,170.0,213.0,4800.0,3100,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
17,CPU,90.0,115.0,109.0,125.0,3400,Intel,Compact(),Infinitesimal(),Least Useable Space
18,CPU,45.0,45.0,117.0,234.0,2700,AMD,Highly Compact(),Approaching Subatomic(),Some Usable Space
19,CPU,14.0,170.0,213.0,4800.0,2000,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
20,CPU,45.0,4.0,26.0,47.0,1600,Intel,Highly Compact(),Infinitesimal(),Least Useable Space
21,CPU,22.0,130.0,160.0,1400.0,3000,Intel,Extremely Compact(),Microscopic(),Some Usable Space
22,CPU,65.0,95.0,285.0,450.0,2300,AMD,Compact(),Microminiature(),Most Useable Space
23,CPU,32.0,35.0,149.0,624.0,2200,Intel,Extremely Compact(),Microminiature(),Some Usable Space
24,CPU,32.0,65.0,228.0,1178.0,2400,AMD,Extremely Compact(),Microminiature(),Most Useable Space
25,CPU,90.0,25.0,125.0,114.0,1800,AMD,Compact(),Infinitesimal(),Some Usable Space
26,CPU,45.0,65.0,107.0,820.0,2833,Intel,Highly Compact(),Microminiature(),Least Useable Space
27,CPU,22.0,15.0,118.0,1300.0,1800,Intel,Extremely Compact(),Microscopic(),Some Usable Space
28,CPU,14.0,65.0,192.0,4800.0,3200,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
29,CPU,32.0,35.0,228.0,1178.0,1900,AMD,Extremely Compact(),Microminiature(),Most Useable Space
30,CPU,130.0,97.0,237.0,286.0,3200,Intel,Slightly Compact(),Approaching Subatomic(),Most Useable Space
31,CPU,65.0,130.0,143.0,582.0,2666,Intel,Compact(),Microminiature(),Some Usable Space
32,CPU,32.0,65.0,228.0,1178.0,2100,AMD,Extremely Compact(),Microminiature(),Most Useable Space
33,CPU,90.0,89.0,220.0,227.0,2800,AMD,Compact(),Approaching Subatomic(),Considerable Useable Space
34,CPU,45.0,95.0,169.0,300.0,3000,AMD,Highly Compact(),Approaching Subatomic(),Considerable Useable Space
35,CPU,7.0,155.0,74.0,3800.0,3000,AMD,Extremely Compact(),Microscopic(),Least Useable Space
36,CPU,7.0,45.0,156.0,9800.0,3300,AMD,Extremely Compact(),Microscopic(),Some Usable Space
37,CPU,7.0,180.0,74.0,3800.0,2500,AMD,Extremely Compact(),Microscopic(),Least Useable Space
38,CPU,90.0,62.0,230.0,227.0,2600,AMD,Compact(),Approaching Subatomic(),Most Useable Space
39,CPU,130.0,32.0,80.0,44.0,1400,Intel,Slightly Compact(),Infinitesimal(),Least Useable Space
40,CPU,130.0,82.0,193.0,106.0,2200,AMD,Slightly Compact(),Infinitesimal(),Considerable Useable Space
41,CPU,22.0,80.0,160.0,1400.0,2100,Intel,Extremely Compact(),Microscopic(),Some Usable Space
42,CPU,90.0,67.0,156.0,154.0,2200,AMD,Compact(),Approaching Subatomic(),Some Usable Space
43,CPU,32.0,4.0,66.0,176.0,1600,Intel,Extremely Compact(),Approaching Subatomic(),Least Useable Space
44,CPU,22.0,15.0,118.0,1400.0,1600,Intel,Extremely Compact(),Microscopic(),Some Usable Space
45,CPU,90.0,89.0,220.0,154.0,2000,AMD,Compact(),Approaching Subatomic(),Considerable Useable Space
46,CPU,22.0,60.0,160.0,1400.0,2400,Intel,Extremely Compact(),Microscopic(),Some Usable Space
47,CPU,12.0,35.0,210.0,4940.0,2300,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
48,CPU,7.0,25.0,156.0,9800.0,2100,AMD,Extremely Compact(),Microscopic(),Some Usable Space
49,CPU,65.0,27.0,90.0,151.0,1866,Intel,Compact(),Approaching Subatomic(),Least Useable Space
50,CPU,32.0,65.0,246.0,1178.0,3400,AMD,Extremely Compact(),Microminiature(),Most Useable Space
51,CPU,65.0,31.0,90.0,151.0,2166,Intel,Compact(),Approaching Subatomic(),Least Useable Space
52,CPU,14.0,51.0,150.0,1400.0,3500,Intel,Extremely Compact(),Microscopic(),Some Usable Space
