,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,ProcessSize,TransistorSize,DieSize
0,CPU,65.0,45.0,77.0,122.0,2200,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
1,CPU,14.0,35.0,192.0,4800.0,3200,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
2,CPU,22.0,80.0,160.0,1400.0,1800,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
3,CPU,22.0,95.0,160.0,1400.0,2400,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
4,CPU,65.0,125.0,285.0,450.0,2400,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
5,CPU,65.0,130.0,140.0,376.0,3000,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
6,CPU,90.0,89.0,156.0,154.0,2200,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
7,CPU,130.0,62.0,80.0,37.0,1992,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Least useable space
8,CPU,22.0,35.0,160.0,1480.0,2200,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
9,CPU,65.0,95.0,285.0,450.0,2300,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
10,CPU,90.0,84.0,109.0,125.0,2660,Intel,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
11,CPU,22.0,80.0,160.0,1400.0,2500,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
12,CPU,90.0,110.0,199.0,233.0,2400,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Considerable useable space
13,CPU,45.0,130.0,263.0,731.0,3333,Intel,Highly Compact(32-45nm),Microminiature(125-410nm),Most useable space
14,CPU,90.0,67.0,115.0,105.0,2200,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Some useable space
15,CPU,90.0,130.0,206.0,169.0,3000,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Considerable useable space
16,CPU,14.0,170.0,213.0,4800.0,3100,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
17,CPU,90.0,115.0,109.0,125.0,3400,Intel,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
18,CPU,45.0,45.0,117.0,234.0,2700,AMD,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Some useable space
19,CPU,14.0,170.0,213.0,4800.0,2000,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
20,CPU,45.0,4.0,26.0,47.0,1600,Intel,Highly Compact(32-45nm),Infinitesimal(1-37nm),Least useable space
21,CPU,22.0,130.0,160.0,1400.0,3000,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
22,CPU,65.0,95.0,285.0,450.0,2300,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
23,CPU,32.0,35.0,149.0,624.0,2200,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Some useable space
24,CPU,32.0,65.0,228.0,1178.0,2400,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
25,CPU,90.0,25.0,125.0,114.0,1800,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Some useable space
26,CPU,45.0,65.0,107.0,820.0,2833,Intel,Highly Compact(32-45nm),Microminiature(125-410nm),Least useable space
