,Type,TDP,Freq,Vendor,Process-Size,Transistor-Size,Die-Size
0,CPU,45.0,2200,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
1,CPU,35.0,3200,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
2,CPU,80.0,1800,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
3,CPU,95.0,2400,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
4,CPU,125.0,2400,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
5,CPU,130.0,3000,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
6,CPU,89.0,2200,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Some useable space
7,CPU,62.0,1992,AMD,Slightly Compact(90-180nm),Infinitesimal(1-37nm),Least useable space
8,CPU,35.0,2200,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
9,CPU,95.0,2300,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
10,CPU,84.0,2660,Intel,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
11,CPU,80.0,2500,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
12,CPU,110.0,2400,AMD,Compact(45-90nm),Approaching Subatomic(37-125nm),Considerable useable space
13,CPU,130.0,3333,Intel,Highly Compact(32-45nm),Microminiature(125-410nm),Most useable space
14,CPU,67.0,2200,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Some useable space
15,CPU,130.0,3000,Intel,Compact(45-90nm),Approaching Subatomic(37-125nm),Considerable useable space
16,CPU,170.0,3100,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
17,CPU,115.0,3400,Intel,Compact(45-90nm),Infinitesimal(1-37nm),Least useable space
18,CPU,45.0,2700,AMD,Highly Compact(32-45nm),Approaching Subatomic(37-125nm),Some useable space
19,CPU,170.0,2000,AMD,Extremely Compact(0-32nm),Microscopic(410-1178nm),Considerable useable space
20,CPU,4.0,1600,Intel,Highly Compact(32-45nm),Infinitesimal(1-37nm),Least useable space
21,CPU,130.0,3000,Intel,Extremely Compact(0-32nm),Microscopic(410-1178nm),Some useable space
22,CPU,95.0,2300,AMD,Compact(45-90nm),Microminiature(125-410nm),Most useable space
23,CPU,35.0,2200,Intel,Extremely Compact(0-32nm),Microminiature(125-410nm),Some useable space
24,CPU,65.0,2400,AMD,Extremely Compact(0-32nm),Microminiature(125-410nm),Most useable space
25,CPU,25.0,1800,AMD,Compact(45-90nm),Infinitesimal(1-37nm),Some useable space
26,CPU,65.0,2833,Intel,Highly Compact(32-45nm),Microminiature(125-410nm),Least useable space
